M,P,NA,phi,orientation
1652.4,-324.0,0.1,0.9,0
1652.4,-324.0,0.4626262626262626,0.9,0
2595.333333333333,-242.39999999999998,0.8252525252525252,0.9,0
3016.504404761905,-202.2884693877551,1.187878787878788,0.9,0
3907.938333333333,-117.39,1.5505050505050506,0.9,0
4778.338333333333,-35.79000000000004,1.9131313131313132,0.9,0
4778.338333333333,-35.79000000000004,2.275757575757576,0.9,0
4778.338333333333,-35.79000000000004,2.6383838383838385,0.9,0
5576.205000000001,45.80999999999993,3.001010101010101,0.9,0
5576.205000000001,45.80999999999993,3.3636363636363638,0.9,0
5576.205000000001,45.80999999999993,3.7262626262626264,0.9,0
6301.538333333337,127.40999999999984,4.088888888888889,0.9,0
6301.538333333337,127.40999999999984,4.451515151515151,0.9,0
6301.538333333337,127.40999999999984,4.814141414141414,0.9,0
6954.338333333338,209.0099999999997,5.1767676767676765,0.9,0
6954.338333333338,209.0099999999997,5.539393939393939,0.9,0
6954.338333333338,209.0099999999997,5.902020202020202,0.9,0
7534.605000000005,290.61,6.264646464646464,0.9,0
7534.605000000005,290.61,6.627272727272727,0.9,0
7534.605000000005,290.61,6.98989898989899,0.9,0
8042.338333333336,372.2100000000005,7.352525252525252,0.9,0
8042.338333333336,372.2100000000005,7.715151515151515,0.9,0
8042.338333333336,372.2100000000005,8.077777777777778,0.9,0
8443.76098044698,452.00186892342555,8.44040404040404,0.8964140984797213,0
8288.60631100758,443.6963045284594,8.803030303030303,0.8799424298177934,0
8145.728592489216,436.04793599370765,9.165656565656565,0.8647741177901241,0
8356.551033431793,506.11733424843874,9.528282828282828,0.8507603534181176,0
8228.994705644653,498.39184219700866,9.89090909090909,0.8377741506085192,0
8110.4606853495025,491.2127892444779,10.253535353535353,0.8257064872154604,0
8262.583237461316,558.3688465008697,10.616161616161616,0.8144632369828406,0
8156.057272446793,551.1700348825038,10.978787878787879,0.8039627095091704,0
8056.343352576589,544.4315676479985,11.341414141414141,0.7941336621500436,0
8123.618883349125,613.1380443615318,11.704040404040404,0.7849136815039447,0
7973.065882656506,614.4839504735971,12.066666666666666,0.7762478567346162,0
7832.540007023871,615.5856802478144,12.429292929292929,0.768087685129398,0
7823.649479878794,685.4197285772076,12.791919191919192,0.7603901638094408,0
7699.255672191085,685.471768424073,13.154545454545454,0.7531170316707576,0
6568.814112115783,600.4213981467637,13.517171717171717,0.65,0
6468.476082466099,611.4389072847677,13.87979797979798,0.65,0
6425.632649724193,680.8287163120555,14.242424242424242,0.65,0
6335.13286143066,690.7659479678152,14.605050505050505,0.65,0
6249.018202573944,700.2216752148277,14.967676767676767,0.65,0
6166.9774927887975,768.163400210843,15.33030303030303,0.65,0
6088.728314261741,776.7554668726374,15.692929292929293,0.65,0
6014.0137636165555,784.9594175317156,16.055555555555557,0.65,0
5890.214449058693,851.734302325577,16.41818181818182,0.65,0
5821.886778777665,859.2369484740817,16.780808080808082,0.65,0
5756.449708735961,866.4221953806226,17.143434343434343,0.65,0
5588.953238048074,932.2431005135252,17.506060606060608,0.65,0
5528.77305859138,938.8511202185738,17.868686868686872,0.65,0
5470.986882616871,945.1962689530294,18.231313131313133,0.65,0
5258.299088198372,1010.2272598869988,18.593939393939394,0.65,0
5204.891437575613,1016.0916293671446,18.956565656565658,0.65,0
5153.488737969646,1021.735847363094,19.319191919191923,0.65,0
4251.567661662819,1171.8216512702002,19.681818181818183,0.65,0
4222.095249445679,1174.6285476718324,20.044444444444444,0.65,0
4193.670265430879,1177.3356890065759,20.40707070707071,0.65,0
3904.311921316561,1238.881633595945,20.769696969696973,0.65,0
3877.8209722863976,1241.4045811226276,21.132323232323234,0.65,0
3852.2238438109157,1243.8424028821971,21.494949494949495,0.65,0
3513.1649382159785,1305.1326690235128,21.85757575757576,0.65,0
3489.2248951840743,1307.4126731217896,22.220202020202024,0.65,0
2558.0954629629628,1396.0916666666571,22.582828282828284,0.65,0
0,1396.0916666666571,22.582828282828284,0.65,0
1652.4,-324.0,0.1,0.9,180
1652.4,-324.0,0.4626262626262626,0.9,180
709.4666666666665,-242.39999999999998,0.8252525252525252,0.9,180
-132.8754761904736,-162.17693877551045,1.187878787878788,0.9,180
-1915.7433333333333,7.620000000000002,1.5505050505050506,0.9,180
-2786.143333333333,89.2199999999999,1.9131313131313132,0.9,180
-2786.143333333333,89.2199999999999,2.275757575757576,0.9,180
-2786.143333333333,89.2199999999999,2.6383838383838385,0.9,180
-3852.021578593067,206.55487714574193,3.001010101010101,0.9,180
-4079.8613513513524,236.9335135135133,3.3636363636363638,0.9,180
-4263.356055841692,261.3994741122254,3.7262626262626264,0.9,180
-5139.637355072465,363.12586956521693,4.088888888888889,0.9,180
-5265.992482414344,379.9732198774673,4.451515151515151,0.9,180
-6184.4933333333365,502.4399999999997,4.814141414141414,0.9,180
-6837.293333333337,584.0399999999998,5.1767676767676765,0.9,180
-6837.293333333337,584.0399999999998,5.539393939393939,0.9,180
-6837.293333333337,584.0399999999998,5.902020202020202,0.9,180
-7417.560000000005,665.64,6.264646464646464,0.9,180
-7417.560000000005,665.64,6.627272727272727,0.9,180
-7417.560000000005,665.64,6.98989898989899,0.9,180
-7925.293333333335,747.2400000000005,7.352525252525252,0.9,180
-7925.293333333335,747.2400000000005,7.715151515151515,0.9,180
-7925.293333333335,747.2400000000005,8.077777777777778,0.9,180
-8327.182326939692,825.5376237599256,8.44040404040404,0.8964140984797214,180
-8174.169798009776,810.368315033534,8.803030303030303,0.8799424298177934,180
-8033.264718470611,796.3993108768525,9.165656565656565,0.8647741177901241,180
-8245.909649469768,860.6291735177683,9.528282828282828,0.8507603534181176,180
-8120.042177358017,847.4923307555787,9.89090909090909,0.8377741506085193,180
-8003.0775566871325,835.2846824671602,10.253535353535353,0.8257064872154604,180
